ID,State,Sex,Age_Group,COVID_Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths,Influenza_Deaths,Pneumonia_Influenza_COVID_Deaths
1,District of Columbia,Male,0-17,,,,0,16
1,District of Columbia,Male,18-29,,14,,0,17
1,District of Columbia,Male,30-39,39,52,29,,63
1,District of Columbia,Male,40-49,78,95,57,,119
1,District of Columbia,Male,50-64,348,436,264,,522
1,District of Columbia,Male,65-74,338,453,267,,529
1,District of Columbia,Male,75-84,260,359,193,0,426
1,District of Columbia,Female,0-17,,14,,,18
1,District of Columbia,Female,18-29,,11,,0,12
1,District of Columbia,Female,30-39,29,29,21,0,37
1,District of Columbia,Female,40-49,38,55,25,,69
1,District of Columbia,Female,50-64,216,283,166,,333
1,District of Columbia,Female,65-74,246,341,188,,401
1,District of Columbia,Female,75-84,204,286,145,,346
1,Florida,Male,0-17,45,102,15,17,148
1,Florida,Male,18-29,342,373,198,12,528
1,Florida,Male,30-39,853,923,533,19,1261
1,Florida,Male,40-49,2100,2007,1388,34,2751
1,Florida,Male,50-64,8738,9569,5669,110,12741
1,Florida,Male,65-74,10601,13054,6949,151,16841
1,Florida,Male,75-84,12881,16025,8111,191,20969
1,Florida,Female,0-17,63,104,24,14,155
1,Florida,Female,18-29,191,234,107,,322
1,Florida,Female,30-39,611,654,383,20,902
1,Florida,Female,40-49,1309,1401,844,25,1891
1,Florida,Female,50-64,5457,6454,3607,95,8390
1,Florida,Female,65-74,7230,8856,4597,128,11604
1,Florida,Female,75-84,9443,11609,5691,156,15503
1,Georgia,Male,0-17,46,46,11,,89
1,Georgia,Male,18-29,163,150,63,10,258
1,Georgia,Male,30-39,441,353,201,11,601
1,Georgia,Male,40-49,1053,848,541,11,1370
1,Georgia,Male,50-64,4488,4041,2387,53,6191
1,Georgia,Male,65-74,5232,5015,2850,67,7458
1,Georgia,Male,75-84,5209,5179,2798,58,7642
1,Georgia,Female,0-17,24,46,,,69
1,Georgia,Female,18-29,137,115,55,,201
1,Georgia,Female,30-39,376,306,179,,511
1,Georgia,Female,40-49,765,644,388,12,1033
1,Georgia,Female,50-64,3285,2995,1755,66,4584
1,Georgia,Female,65-74,3835,3685,2083,66,5500
1,Georgia,Female,75-84,4371,4192,2229,69,6393
1,New Jersey,Male,0-17,13,25,,,37
1,New Jersey,Male,18-29,108,92,43,,160
1,New Jersey,Male,30-39,300,229,135,,400
1,New Jersey,Male,40-49,774,575,373,11,987
1,New Jersey,Male,50-64,3798,3021,1926,31,4922
1,New Jersey,Male,65-74,4457,3827,2282,29,6029
1,New Jersey,Male,75-84,5114,4759,2637,43,7274
1,New Jersey,Female,0-17,15,18,,,32
1,New Jersey,Female,18-29,58,51,22,,90
1,New Jersey,Female,30-39,152,140,63,,234
1,New Jersey,Female,40-49,331,291,169,,458
1,New Jersey,Female,50-64,2051,1766,1064,23,2773
1,New Jersey,Female,65-74,2863,2504,1460,31,3931
1,New Jersey,Female,75-84,4256,3818,2094,35,6013
1,New York,Male,0-17,29,36,,,67
1,New York,Male,18-29,115,128,41,,203
1,New York,Male,30-39,283,260,116,,432
1,New York,Male,40-49,661,545,282,10,934
1,New York,Male,50-64,3744,3643,1783,67,5666
1,New York,Male,65-74,4917,5241,2320,72,7904
1,New York,Male,75-84,6058,6812,2771,90,10183
1,New York,Female,0-17,21,29,,,51
1,New York,Female,18-29,56,65,19,,106
1,New York,Female,30-39,164,163,61,,270
1,New York,Female,40-49,378,368,177,,575
1,New York,Female,50-64,2109,2310,1012,42,3447
1,New York,Female,65-74,3342,3562,1539,77,5437
1,New York,Female,75-84,5081,5441,2143,94,8471
1,District of Columbia,Male,0-17,,,0,0,
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,21,25,18,,29
1,District of Columbia,Male,40-49,35,42,33,,45
1,District of Columbia,Male,50-64,159,204,145,,219
1,District of Columbia,Male,65-74,169,225,160,,236
1,District of Columbia,Male,75-84,122,160,114,0,168
1,District of Columbia,Female,0-17,0,,0,,
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,15,24,15,0,24
1,District of Columbia,Female,50-64,87,112,79,0,120
1,District of Columbia,Female,65-74,102,144,93,,154
1,District of Columbia,Female,75-84,81,117,76,0,122
1,District of Columbia,Male,0-17,,,,0,
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,13,14,,0,18
1,District of Columbia,Male,40-49,28,28,17,0,39
1,District of Columbia,Male,50-64,114,116,69,0,161
1,District of Columbia,Male,65-74,91,102,61,0,132
1,District of Columbia,Male,75-84,74,83,45,0,112
1,District of Columbia,Female,0-17,0,,0,0,
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,12,,,0,14
1,District of Columbia,Female,40-49,14,17,,0,23
1,District of Columbia,Female,50-64,93,99,67,0,125
1,District of Columbia,Female,65-74,91,107,62,0,136
1,District of Columbia,Female,75-84,69,83,45,0,107
1,District of Columbia,Male,0-17,,,,0,
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,,11,,0,12
1,District of Columbia,Male,40-49,10,11,,,19
1,District of Columbia,Male,50-64,68,95,47,,117
1,District of Columbia,Male,65-74,72,87,42,,119
1,District of Columbia,Male,75-84,49,80,27,0,102
1,District of Columbia,Female,0-17,,,,0,
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,10,,,0,10
1,District of Columbia,Female,40-49,,10,,,18
1,District of Columbia,Female,50-64,34,53,20,,67
1,District of Columbia,Female,65-74,49,69,29,,90
1,District of Columbia,Female,75-84,46,61,22,,86
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,,0,0,
1,District of Columbia,Male,30-39,,,0,0,
1,District of Columbia,Male,40-49,,14,,0,16
1,District of Columbia,Male,50-64,,21,,,25
1,District of Columbia,Male,65-74,,39,,,42
1,District of Columbia,Male,75-84,15,36,,0,44
1,District of Columbia,Female,0-17,0,,0,0,
1,District of Columbia,Female,18-29,0,,0,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,0,,0,0,
1,District of Columbia,Female,50-64,,19,0,0,21
1,District of Columbia,Female,65-74,,21,,0,21
1,District of Columbia,Female,75-84,,25,,,31
1,Florida,Male,0-17,,24,,,31
1,Florida,Male,18-29,51,78,24,,110
1,Florida,Male,30-39,124,165,62,,235
1,Florida,Male,40-49,402,401,232,20,591
1,Florida,Male,50-64,1985,2258,1160,60,3141
1,Florida,Male,65-74,2964,3531,1823,55,4722
1,Florida,Male,75-84,3780,4382,2282,60,5936
1,Florida,Female,0-17,,19,,,29
1,Florida,Female,18-29,24,49,12,,62
1,Florida,Female,30-39,89,120,47,14,176
1,Florida,Female,40-49,206,278,123,17,378
1,Florida,Female,50-64,1041,1421,588,43,1914
1,Florida,Female,65-74,1774,2172,1027,52,2969
1,Florida,Female,75-84,2730,3090,1544,51,4324
1,Florida,Male,0-17,25,34,12,0,47
1,Florida,Male,18-29,242,201,149,0,294
1,Florida,Male,30-39,619,534,419,0,734
1,Florida,Male,40-49,1474,1206,1037,,1645
1,Florida,Male,50-64,5361,4812,3737,10,6441
1,Florida,Male,65-74,5230,5341,3748,14,6832
1,Florida,Male,75-84,5329,5837,3736,,7436
1,Florida,Female,0-17,33,36,12,,57
1,Florida,Female,18-29,141,119,83,0,177
1,Florida,Female,30-39,430,366,284,0,512
1,Florida,Female,40-49,920,778,633,0,1065
1,Florida,Female,50-64,3490,3270,2533,,4231
